Title,Authors,Abstract,Funder,Language,DOI,Access rights,Usage rights,Repository link,Publication date,Journal,ISSN,Publisher,Pages,Subjects,Type
The future of food demand: understanding differences in global economic models,"Valin, Hugo; Sands, Ronald D.; van der Mensbrugghe, Dominique; Nelson, Gerald C.; Ahammad, Helal; Blanc, Elodie; Bodirsky, Benjamin; Fujimori, Shinichiro; Hasegawa, Tomoko; Havlik, Petr; Heyhoe, Edwina; Kyle, Page; Mason d'Croz, Daniel; Paltsev, Sergey; Rolinski, Susanne; Tabeau, Andrzej; van Meijl, Hans; von Lampe, Martin; Willenbockel, Dirk",,,English,10.1111/agec.12089,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4388,2014,Agricultural Economics,,,Agricultural Economics 45(1): 51-67,climate change; socioeconomic development; protected areas; resource management; economic development; prices; nutrition; malnutrition; commodities; trade; food supply; food security; climate change; technological changes; commodity markets; world food demand; socioeconomic pathways; computable general equilibrium; partial equilibrium; impact model,Journal article
The heat never bothered me anyway: Gender‐specific response of agricultural labor to climatic shocks in Tanzania,"Lee, Yeyoung; Haile, Beliyou; Seymour, Gregory; Azzarri, Carlo","Agricultural production in Africa is generally highly labor intensive with gender‐specific specialization across activities. Using panel data from Tanzania, we examine the effects of heat stress (temperature above 29°C) during the maize‐growing season on gender‐disaggregated agricultural labor use. Results show that heat stress reduces total male family labor but does not statistically affect female family labor. Households with only female adults seem to increase their labor supply under heat stress. Given these heterogeneous effects, gender‐sensitive development interventions and adaptation strategies are suggested to enhance women's adaptive capacity.",United States Agency for International Development USAID,English,10.1002/aepp.13153,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7649,2021,Applied Economic Perspectives and Policy,2040-5790,Agricultural & Applied Economics Association,Applied Economic Perspectives and Policy 43(2): 732-749,gender; heat; climate change; agricultural production; agriculture; women; labour; heat stress; maize; female labour; panel data; climate shocks; agricultural labour,Journal article
The impact of climate change on children's nutritional status in coastal Bangladesh,"Hanifi, S. M. Manzoor Ahmed; Menon, Nidhiya; Quisumbing, Agnes R.",,,English,10.1016/j.socscimed.2022.114704,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/8122,2022,Social Science and Medicine,0277-9536,Elsevier,Social Science and Medicine 294(February 2022): 114704,climate change; nutrition; infants; preschool children; temperature; humidity; precipitation; arm circumference; models; children; child nutrition; non-parametric,Journal article
The impact of drought on human capital in rural India,"Joshi, Kuhu",,,English,10.1017/s1355770x19000123,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6677,2019,Environment and Development Economics,1355-770X,Cambridge University Press,Environment and Development Economics 24(4): 413-436,climate change; education; human capital; rural areas; drought; school enrollment,Journal article
The impact of interventions in the global land and agri‐food sectors on Nature’s Contributions to People and the UN Sustainable Development Goals,"McElwee, Pamela; Calvin, Katherine; Campbell, Donovan; Cherubini, Francesco; Grassi, Giacomo; Nkonya, Ephraim M.",,,English,10.1111/gcb.15219,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7284,2020,Global Change Biology,1354-1013,John Wiley & Sons,Global Change Biology 26(9): 4691-4721,sustainable development goals; climate change; biodiversity; land degradation; land management; value chains; risk management; adaptation; food security; ecosystems; ecosystem services; sustainable land management; mitigation; nature’s contributions to people (ncp); biodiversity loss; trade off,Journal article
The new normal?,"Rosegrant, Mark W.; Tokgoz, Simla; Bhandary, Prapti",,,English,10.1093/ajae/aas041,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/3577,2013,American Journal of Agricultural Economics,,,American Journal of Agricultural Economics 95(2): 303-309,impact model; food prices; food price crisis; food markets; agricultural commodities; food security; water scarcity; climate change,Journal article
"The nexus across water, energy, land and food (WELF)","Ringler, Claudia; Bhaduri, Anik; Lawford, Richard",,,English,10.1016/j.cosust.2013.11.002,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/4188,2013,Current Opinion in Environmental Sustainability,,,Current Opinion in Environmental Sustainability 5(6): 617-624,water; land; energy; food; climate change,Journal article
The Philippines energy future and low-carbon development strategies,"Mondal, Md. Hossain Alam; Rosegrant, Mark W.; Ringler, Claudia; Pradesha, Angga; Valmonte-Santos, Rowena","This paper presents an assessment of alternative, long-term energy supply and low-carbon strategies for the Philippine power sector from 2014 to 2040 using TIMES model. It examines the potential contribution of renewable energy to diversify the Philippine energy supply-mix to meet future electricity demands. The reference scenario compares the impact of four alternative policy goals: (1) carbon tax, (2) targeted renewable-based power generation, (3) limited coal share in supply-mix, and (4) renewables subsidy.",,English,10.1016/j.energy.2018.01.039,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/6166,2018,Energy,,Elsevier,Energy 147(15): 142-154,energy; optimization; climate change; renewable energy; energy demand; energy policies; fossil fuels; linear programming; energy resources; energy security; times model,Journal article
The role of climate in the trend and variability of Ethiopia's cereal crop yields,"Yang, Meijian; Wang, Guiling; Ahmed, Kazi Farzan; Adugna, Berihun; Eggen, Michael; Atsbeha, Ezana; You, Liangzhi; Koo, Jawoo; Anagnostou, Emmanouil",,National Science Foundation,English,10.1016/j.scitotenv.2020.137893,Restricted,,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7135,2020,Science of The Total Environment,0048-9697,Elsevier,Science of The Total Environment 723(June 2020): 137893,crop yield; climate change; yields; cereals; models; irrigation; crop modeling; dssat; correlation coefficient; climate variables; distributed model,Journal article
The role of crop production in the forest landscape restoration approach: Assessing the potential benefits of meeting the Bonn Challenge,"De Pinto, Alessandro; Cenacchi, Nicola; Robertson, Richard D.; Kwon, Ho-Young; Thomas, Timothy S.; Koo, Jawoo; Begeladze, Salome; Kumar, Chetan","Existing approaches and methodologies that investigate effects of land degradation on food security vary greatly. Although a relatively rich body of literature that investigates localized experiences, geophysical, and socioeconomic drivers of land degradation, and the costs and benefits of avoiding land degradation already exists, less rigorously explored are the global effects of restoring degraded landscapes for the health of the land, the climate, and world food security. The current scale of land degradation is such that the problem can be meaningfully addressed only if local successes are upscaled and a large number of landowners and land managers implement restoration activities. Significant global efforts to address degradation exist, but studies that evaluate the global benefits of these efforts generally do not account for global market forces and the complex web of relationships that determine the effects of wide-scale restoration on production and food security. This paper provides important insights into how a full integration of crop production in restoration efforts could impact food production levels, food availability, forest carbon stocks, and Greenhouse gas emissions.","Department for International Development, DfID",English,10.3389/fsufs.2020.00061,Open Access,https://creativecommons.org/licenses/by/4.0/,https://ebrary.ifpri.org/digital/collection/p15738coll5/id/7229,2020,Frontiers in Sustainable Food Systems,2571-581X,Frontiers,Frontiers in Sustainable Food Systems 4: 61,land degradation; climate change; forest landscape restoration; food security; crop production; bonn challenge,Journal article
